,ctdpf_ckl_seawater_temperature,practical_salinity,ctdpf_ckl_seawater_conductivity,density,Label
"(741165.009, 741265.018]",2.2276350000000007,34.358104460429146,3.1375352000000007,1037.2788986497428,0
"(741265.018, 741365.026]",2.2528840000000008,34.355007836238386,3.1384126000000006,1037.1531017639782,0
"(741365.026, 741465.035]",2.2692400000000017,34.349745620532126,3.138343400000001,1037.027073170132,0
"(741465.035, 741565.044]",2.2865620000000013,34.3455888000043,3.1384532999999974,1036.9024813870922,0
"(741565.044, 741665.053]",2.307272,34.34066017333948,3.1387928000000005,1036.7769444278906,0
"(741665.053, 741765.061]",2.32702,34.33606821399434,3.139069099999999,1036.6511050469746,0
"(741765.061, 741865.07]",2.3491799999999996,34.33109675310803,3.139521499999999,1036.5246220379638,0
"(741865.07, 741965.079]",2.3686289999999994,34.32601690641356,3.139730800000001,1036.398644105818,0
"(741965.079, 742065.088]",2.3873149999999987,34.320809973459156,3.1398697000000015,1036.2735198181567,0
"(742065.088, 742165.096]",2.4050139999999995,34.31597148091126,3.139949900000002,1036.1485815753374,0
"(742165.096, 742265.105]",2.4255899999999992,34.31068711770463,3.140239799999999,1036.0227487061159,0
"(742265.105, 742365.114]",2.441691999999999,34.30562920383882,3.1401596999999986,1035.8977299454514,0
"(742365.114, 742465.123]",2.4646090000000016,34.29935878872956,3.1405754000000004,1035.7715939402283,0
"(742465.123, 742565.132]",2.495526,34.29006035227493,3.141442399999999,1035.6430191297984,0
"(742565.132, 742665.14]",2.5198039999999993,34.28251212374837,3.141875100000003,1035.5165047886387,0
"(742665.14, 742765.149]",2.540982000000001,34.27626110688024,3.1421544999999997,1035.3925109347977,0
"(742765.149, 742865.158]",2.560369,34.27045850432789,3.142333299999999,1035.2712265723937,0
"(742865.158, 742965.167]",2.5869609999999987,34.26237656183992,3.1429361000000013,1035.1459666640092,0
"(742965.167, 743065.175]",2.6090679999999997,34.25556257959029,3.1432498,1035.021895164143,0
"(743065.175, 743165.184]",2.6389770000000006,34.246765722863145,3.1440931999999986,1034.8973026911135,0
"(743165.184, 743265.193]",2.6731809999999996,34.23665129462743,3.1451857999999997,1034.7696887523975,0
"(743265.193, 743365.202]",2.707549,34.22663382128658,3.1462992999999977,1034.642150706014,0
"(743365.202, 743465.211]",2.730114999999999,34.21621552956791,3.1463488,1034.5151625971414,0
"(743465.211, 743565.219]",2.7525200000000005,34.202970220916015,3.146169000000001,1034.388207101385,0
"(743565.219, 743665.228]",2.7812700000000006,34.19262677745091,3.146779199999998,1034.262870582772,0
"(743665.228, 743765.237]",2.8153089999999996,34.181229014665064,3.1477761,1034.1378971011604,0
"(743765.237, 743865.246]",2.8437170000000007,34.17164570641932,3.1484275999999984,1034.0144165329946,0
"(743865.246, 743965.254]",2.8760280000000007,34.162741918043444,3.1494751999999995,1033.8912757360024,0
"(743965.254, 744065.263]",2.9120290000000013,34.15460892253524,3.1509167999999987,1033.7695176684501,0
"(744065.263, 744165.272]",2.945174,34.14600637339044,3.1520592,1033.6465069943013,0
"(744165.272, 744265.281]",2.9731290000000006,34.13656044888708,3.1526704000000025,1033.5224434746347,0
"(744265.281, 744365.289]",3.0065179999999994,34.124816688611624,3.153552500000001,1033.3950088383108,0
"(744365.289, 744465.298]",3.0514240000000012,34.11267201309724,3.1554001000000005,1033.2659272751487,0
"(744465.298, 744565.307]",3.0930290000000014,34.10282580121788,3.157147599999999,1033.1386804428455,0
"(744565.307, 744665.316]",3.1493210000000005,34.09110746346772,3.1600185,1033.0087416385204,0
"(744665.316, 744765.325]",3.205026000000001,34.07961498684396,3.162837500000001,1032.8770101615603,0
"(744765.325, 744865.333]",3.257083,34.069578930116855,3.1654714999999998,1032.7481015168157,0
"(744865.333, 744965.342]",3.3148969999999998,34.059390353303314,3.1686204999999994,1032.6214430551381,0
"(744965.342, 745065.351]",3.37768,34.04899318153412,3.1721611000000007,1032.4915747478165,0
"(745065.351, 745165.36]",3.4394370000000003,34.038903965356056,3.1756304999999996,1032.3612578572256,0
"(745165.36, 745265.368]",3.504081999999999,34.02993577046715,3.179458300000001,1032.2329104967891,0
"(745265.368, 745365.377]",3.578706000000001,34.02011968387754,3.1840752000000005,1032.101728964981,0
"(745365.377, 745465.386]",3.646608,34.01209260736991,3.188307399999999,1031.9781319848692,0
"(745465.386, 745565.395]",3.7044420000000002,34.00444429996631,3.1916786000000026,1031.8543099213175,0
"(745565.395, 745665.404]",3.790964999999998,33.9940293341018,3.1973161,1031.7246335491382,0
"(745665.404, 745765.412]",3.868106999999999,33.984242665109285,3.202172000000001,1031.5946824206692,0
"(745765.412, 745865.421]",3.948772000000001,33.974048546403964,3.2072825000000007,1031.461868049483,0
"(745865.421, 745965.43]",4.045449999999999,33.965366835500646,3.2139167000000004,1031.3276689336817,0
"(745965.43, 746065.439]",4.1648700000000005,33.95645932834741,3.2225309999999996,1031.191272892827,0
"(746065.439, 746165.447]",4.282830000000001,33.94860661561702,3.231104500000001,1031.0547678925468,0
"(746165.447, 746265.456]",4.395743000000003,33.93793951479581,3.2390217000000017,1030.9188593810277,0
"(746265.456, 746365.465]",4.448785000000002,33.93197091039319,3.2420775999999996,1030.7918343300773,0
"(746365.465, 746465.474]",4.544895000000001,33.921746510718314,3.2485567000000013,1030.6574047658876,0
"(746465.474, 746565.482]",4.627008000000001,33.91420910804462,3.2540226000000008,1030.5248069807076,0
"(746565.482, 746665.491]",4.683591,33.90762816397092,3.257327099999999,1030.395705470535,0
"(746665.491, 746765.5]",4.725094999999999,33.89943229377971,3.2591704999999997,1030.267572762166,0
"(746765.5, 746865.509]",4.7579899999999995,33.88974778002907,3.2601196999999997,1030.138500523185,0
"(746865.509, 746965.518]",4.797619,33.88272961727042,3.2618880999999997,1030.0104811334195,0
"(746965.518, 747065.526]",4.867968,33.8798725422876,3.2667164000000004,1029.8818444629314,0
"(747065.526, 747165.535]",4.939885000000002,33.88023774081021,3.2719655,1029.7556527057732,0
"(747165.535, 747265.544]",5.023478,33.883413431177715,3.278497699999999,1029.6308702737772,0
"(747265.544, 747365.553]",5.116366,33.888988808540304,3.2860568000000008,1029.506109699017,0
"(747365.553, 747465.561]",5.173911999999999,33.89194185746027,3.2902781000000005,1029.3838515291147,0
"(747465.561, 747565.57]",5.220312999999999,33.894900213208075,3.2935179999999997,1029.2629452541764,0
"(747565.57, 747665.579]",5.270020000000001,33.898490517056096,3.2971058000000006,1029.14211508612,0
"(747665.579, 747765.588]",5.324608000000003,33.902462780222635,3.3011559000000017,1029.02058151957,0
"(747765.588, 747865.596]",5.367159,33.902645707909166,3.3038065000000016,1028.8970877326187,0
"(747865.596, 747965.605]",5.406429000000002,33.89620046231543,3.3055888000000015,1028.769202681693,0
"(747965.605, 748065.614]",5.4050210000000005,33.89533434539258,3.304270699999999,1028.6516303822357,0
"(748065.614, 748165.623]",5.402958000000001,33.89523171740371,3.302959000000001,1028.5346002412534,0
"(748165.623, 748265.632]",5.400888999999999,33.89525693692728,3.3016523,1028.4172189438816,0
"(748265.632, 748365.64]",5.398611000000001,33.89532983131386,3.3003300999999983,1028.2999187401554,0
"(748365.64, 748465.649]",5.396493000000001,33.895451621991256,3.2990272000000003,1028.1828686936033,0
"(748465.649, 748565.658]",5.395054999999998,33.89544646277709,3.297777500000002,1028.0662112547188,0
