depth,date,temp,oxygen,Salinity,Chl
1.1,9/19/17 9:01,12.9826,NA,6.2,1.25
1.1,5/24/17 8:31,12.8409,NA,13.3,25.5
3,6/19/17 8:44,12.4052,NA,12.4,23.2
1,5/10/17 10:31,11.1677,NA,12.6,31.8
1.1,5/15/17 8:47,9.9164,NA,10.6,13.8
0.95,10/17/17 8:54,12.2661,NA,6.1,0.886
0.96,4/17/17 9:04,9.6809,NA,12,22.4
1.1,10/3/17 13:46,13.3674,NA,7.2,3.86
1.1,9/5/17 9:08,13.9579,NA,8.5,13
1.5,4/17/17 9:04,9.6727,NA,12,26.9
0.69,11/20/17 9:31,10.74,NA,6.9,0.634
1,11/6/17 8:50,10.7147,NA,7,0.677
5.3,5/18/15 9:32,11.0721,NA,9.6,16.2
3.2,11/2/15 9:09,12.6757,NA,6.6,0.361
5.6,9/3/08 10:33,12.9249,NA,8,2.33
3.9,4/20/09 10:17,8.4143,NA,10.5,18.8
5.7,5/6/09 11:40,8.7632,NA,10.3,9.22
3.1,5/18/09 10:13,10.4747,NA,11.7,22.7
5.7,6/2/09 13:39,11.5527,NA,12.5,15.6
3.9,7/8/09 9:26,12.1304,NA,9.7,15.8
5.9,7/20/09 9:58,13.4166,NA,9.9,6.96
3.7,8/5/09 16:54,13.7538,NA,8.9,6.05
3.9,8/17/09 10:12,13.6045,NA,10,20.6
5.8,9/21/09 9:43,12.6982,NA,6,0.556
5.5,10/19/09 14:38,12.1774,NA,6.1,0.734
3.2,4/19/10 9:51,9.789,NA,11.1,15.5
3.9,5/5/10 9:26,9.6541,NA,9.9,6.85
3.2,5/18/10 11:16,11.2676,NA,12.2,16
5.8,6/21/10 15:43,11.4121,NA,9.2,1.35
3.5,7/7/10 13:10,13.8451,NA,13.2,20.4
3.6,7/20/10 9:32,12.8036,NA,8.4,0.794
6,3/21/11 9:30,7.791,NA,8.7,1.15
5.5,5/4/11 9:15,9.6382,NA,12.4,27.9
3.6,7/6/11 9:00,12.4272,NA,12,21.8
3.6,7/18/11 10:43,11.5744,NA,8.4,0.561
3.8,8/15/11 9:35,13.0456,NA,8.5,5.64
5.6,10/6/11 13:40,12.023,NA,6,1.19
5.6,10/17/11 9:28,11.6493,NA,7.5,1.17
5.3,4/3/12 11:58,7.8629,NA,9.3,1.58
3.8,4/16/12 9:31,8.7488,NA,12.2,18.1
3.5,5/9/12 15:35,10.6665,NA,12.7,17.1
3.9,5/21/12 9:20,10.5036,NA,11.4,12.4
3.5,6/6/12 8:55,10.8635,NA,10.5,9.87
5.6,8/20/12 9:48,13.6685,NA,9.6,10.6
3.5,9/17/12 9:56,12.8443,NA,9.2,25.8
5.7,10/18/12 12:58,11.7435,NA,6.2,0.3
3.6,4/3/13 8:55,8.9014,NA,9.6,9.31
5.5,5/20/13 9:51,11.4151,NA,11.9,14.5
3.4,7/3/13 9:35,14.1603,NA,10.7,19.3
3.3,7/15/13 9:43,14.282,NA,11.2,21.6
3.2,8/7/13 13:22,14.3786,NA,11.2,27.5
3.4,10/21/13 9:25,11.9586,NA,7,1.36
3.3,4/22/14 14:02,9.1638,NA,10.9,18.4
4.9,6/16/14 10:20,11.5046,NA,9.7,6.89
5,7/21/14 9:33,12.8127,NA,7.5,0.182
3.1,11/3/14 10:00,12.1502,NA,7.3,1.1
3.2,4/6/15 9:16,10.2281,NA,8.9,6.4
4.9,5/4/15 9:34,11.4408,NA,10.7,16.9
5,6/15/15 9:30,13.38,NA,11.5,21.6
5,8/3/15 12:14,14.4353,NA,10.5,17
5.2,10/5/15 9:35,13.3714,NA,6.3,0.696
5.2,11/19/15 9:17,11.6842,NA,7.3,0.537
3.1,1/19/16 10:31,9.6393,NA,7.4,0.341
3.1,2/1/16 8:55,9.1977,NA,8.1,0.701
3.1,3/6/17 9:16,7.8628,NA,8.5,0.473
3.1,4/3/17 9:53,8.6153,NA,10.5,22.3
4.1,12/18/17 13:46,9.8897,NA,7.6,0.51
3.7,8/7/17 9:04,14.0869,NA,9.8,18
6,5/15/17 8:46,9.7821,NA,10.3,12
4.5,3/20/17 9:21,8.0111,NA,9.1,1.85
3.8,10/17/17 8:52,12.2666,NA,6.1,0.914
