File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2605.9,1.6733,34.638000000000005,27.7326,67.9,2.11,91.6,0.024,0.14300000000000002,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2606.0,1.6825,34.6364,27.7306,67.9,2.07,89.9,0.024,0.10300000000000001,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2606.1,1.6787,34.6369,27.7313,67.8,2.08,90.4,0.024,0.12,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2607.0,1.6725,34.6383,27.7329,67.9,2.1,91.2,0.024,0.13,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2607.0,1.6785,34.637,27.7314,67.8,2.09,90.6,0.024,0.11699999999999999,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2607.0,1.6822,34.6365,27.7307,67.9,2.07,90.0,0.024,0.13,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2607.8,1.6822,34.6363,27.7305,67.9,2.08,90.2,0.024,0.122,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2608.0,1.6717,34.6382,27.7328,67.9,2.1,91.3,0.024,0.115,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2608.0,1.6784,34.6371,27.7315,67.9,2.09,90.7,0.024,0.113,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2609.0,1.6718,34.638000000000005,27.7327,67.9,2.11,91.5,0.024,0.128,
